STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT08
USW00024131,"BOISE AIR TERMINAL, ID US",4/16/2021,6.49,,0,0,0,53,63,42,150,160,17,25.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/17/2021,6.49,,0,0,0,53,67,39,120,120,15,18.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/18/2021,6.93,,0,0,0,56,75,40,340,310,16.1,25.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/19/2021,13.87,,0,0,0,58,65,43,320,320,33.1,49,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/20/2021,6.71,,0,0,0,49,61,34,170,160,15,23,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/21/2021,8.5,,0,0,0,51,66,38,300,280,18.1,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/22/2021,6.26,,0,0,0,54,69,35,310,320,19.9,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/23/2021,5.82,,0,0,0,54,66,38,300,310,15,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/24/2021,7.83,,0.53,0,0,55,60,48,220,220,25.1,34,1,,1,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",4/25/2021,4.25,,0.07,0,0,49,56,43,320,180,14.1,18.1,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/26/2021,6.71,,0.36,0,0,46,47,40,30,30,16.1,19.9,1,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/27/2021,4.25,,0,0,0,45,62,37,280,290,13,16.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/28/2021,8.72,,0,0,0,54,71,41,300,300,19.9,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/29/2021,4.92,,0,0,0,63,82,48,130,130,10.1,14.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",4/30/2021,7.16,,0,0,0,69,83,53,120,120,16.1,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/1/2021,9.62,,0.05,0,0,64,75,51,280,280,45,62,1,,1,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",5/2/2021,16.55,,0,0,0,55,64,46,290,300,25.9,35.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/3/2021,4.92,,0,0,0,53,67,40,300,300,15,21,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/4/2021,8.05,,0,0,0,57,70,43,300,300,21,29.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/5/2021,7.38,,0,0,0,59,77,43,150,160,16.1,25.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/6/2021,12.75,,0,0,0,69,90,53,260,250,33.1,46.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/7/2021,16.55,,0,0,0,66,70,47,320,330,29.1,38,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/8/2021,10.07,,0,0,0,50,60,37,320,320,23,32,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/9/2021,8.72,,0,0,0,50,63,36,320,280,21,28,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/10/2021,8.72,,0,0,0,52,67,38,320,310,23,33.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/11/2021,6.93,,0,0,0,56,70,41,320,310,15,21.9,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/12/2021,6.93,,0,0,0,62,82,46,140,130,15,19,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/13/2021,5.37,,0,0,0,69,82,53,320,330,18.1,23.9,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",5/14/2021,6.71,,0,0,0,66,81,53,350,340,21,28,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",5/15/2021,4.92,,0,0,0,65,77,52,120,130,12.1,14.1,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/16/2021,7.38,,0,0,0,67,85,51,130,120,23,34,,,,,,
USW00024131,"BOISE AIR TERMINAL, ID US",5/17/2021,7.61,,0,0,0,72,86,58,140,140,18.1,21.9,,,,,,1
USW00024131,"BOISE AIR TERMINAL, ID US",5/18/2021,11.41,,0,0,0,69,73,54,330,280,21.9,29.1,,,,,,1
